,AptName,EntrezGeneID,EntrezGeneSymbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,plasma_membrane_associated,in_tissue_atlas,log.adj.P.Val,myeloid_plasma,myeloid_soluble,liver
74,ADCK4.9794.17,79934,ADCK4,0.00990957491887112,3.0348707622792404,0.0804810682226991,0.9379227127397759,0.970293314168693,-7.16144256359078,False,False,0.01309696112638722,False,False,False
75,ADCYAP1.8285.64,116,ADCYAP1,-0.331167474570873,3.49417864376512,-2.7710149507821296,0.0253629433210437,0.132767532000925,-4.1527355480588195,False,True,0.8769081177152903,False,False,False
76,ADCYAP1.8446.4,116,ADCYAP1,0.18143601548430802,3.86566008478137,1.00814627868865,0.344241824943894,0.546086066585816,-6.573564242799719,False,True,0.26273890436922115,False,False,False
77,ADCYAP1.8450.36,116,ADCYAP1,0.147273461989089,4.20373982973123,0.797590770859468,0.449183907299701,0.635556063665783,-6.73990007526986,False,True,0.1968461334392346,False,False,False
78,ADGRE2.4546.27,30817,ADGRE2,-0.682188036302903,7.42657555767408,-1.6334953117697901,0.142784105196892,0.332644553988404,-5.39678622814401,False,True,0.4780195823701808,False,False,False
79,ADGRF1.11243.90,,ADGRF1,0.299869959442468,10.0164088547776,0.811203751682491,0.44178451679306,0.630776072824071,-6.192102686180661,False,True,0.20012478908688844,False,False,False
80,ADGRF5.6409.57,221395,ADGRF5,0.160097842595446,6.0692482569085,0.688874944486804,0.511274553509681,0.6824408353313599,-6.61359142297945,False,True,0.16593499410830484,False,False,False
81,ADGRG5.4551.72,221188,ADGRG5,0.919580894503912,5.95034872892755,3.52195433715334,0.008422142292558941,0.0827444710412994,-2.8040170355405802,False,True,1.082261015999085,False,False,False
82,ADH1A.17396.23,124,ADH1A,-0.340090298159009,7.39166442006185,-1.12621653661347,0.294202568186149,0.495733703893826,-6.026855263220201,False,True,0.3047515533209688,False,False,True
83,ADH1B.9834.62,125,ADH1B,0.176640112917502,4.26721332801272,1.10356426500784,0.303324247348676,0.5045755205792439,-6.4410628681830095,False,True,0.29707382305197166,False,False,True
84,ADH1C.15525.294,126,ADH1C,-0.22631916634060897,7.3004523760193,-0.26440907830329896,0.798456914340077,0.889147713886512,-6.692167809620511,False,True,0.05102608380279449,False,False,True
